SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS, EQ, 31-Aug-2021,53.4,54.9,54.9,53.6,53.75,53.85,54.15,44967,24.35,1360,27414,60.96
21STCENMGM, EQ, 31-Aug-2021,32.9,33.55,33.55,33.55,33.55,33.55,33.55,563,0.19,11,563,100
3MINDIA, EQ, 31-Aug-2021,22979.1,23100,24838.3,23100,24005,24391.45,24207.31,16209,3923.76,7478,4633,28.58
3PLAND, BE, 31-Aug-2021,14.1,14.75,14.75,13.5,14.35,14.35,14.39,2248,0.32,31, -, -
5PAISA, EQ, 31-Aug-2021,450.15,453.4,466.8,452,464,462.15,459.07,38288,175.77,1124,15824,41.33
618GS2024, GS, 31-Aug-2021,102,102,102,102,102,102,102,500,0.51,1,500,100
63MOONS, EQ, 31-Aug-2021,94.1,94.6,95,92.25,92.8,92.7,93.53,35757,33.44,822,25921,72.49
664GS2035, GS, 31-Aug-2021,99.5,101,101,100,101,101,100.96,2700,2.73,4,2600,96.3
667GS2050, GS, 31-Aug-2021,96.1,96.1,96.15,96,96.05,96.05,96.07,11312,10.87,21,11312,100
676GS2061, GS, 31-Aug-2021,99.2,99.6,99.6,99.6,99.6,99.6,99.6,20,0.02,1,20,100
68GS2060, GS, 31-Aug-2021,103,99,103,98.5,103,103,102.92,505,0.52,3,505,100
75GS2034, GS, 31-Aug-2021,106,107,107,107,107,107,107,600,0.64,1,600,100
763GS2059, GS, 31-Aug-2021,119.17,120,120,120,120,120,120,20,0.02,1,20,100
772GS2055, GS, 31-Aug-2021,115.5,115,115,115,115,115,115,31,0.04,3,31,100
A2ZINFRA, EQ, 31-Aug-2021,4.45,4.65,4.65,4.45,4.6,4.6,4.57,375186,17.13,342,187754,50.04
AAKASH, EQ, 31-Aug-2021,264.75,269,270,264,264,265.75,266.67,106521,284.05,560,47212,44.32
AAREYDRUGS, EQ, 31-Aug-2021,37.75,38,38.95,37.25,37.9,37.5,37.64,28341,10.67,491,19632,69.27
AARON, EQ, 31-Aug-2021,103.9,108.65,108.65,100.05,105.1,103.2,104.25,7758,8.09,278,2530,32.61
AARTIDRUGS, EQ, 31-Aug-2021,607.35,612.65,624.8,608.9,616.55,616.15,618.25,192117,1187.75,8419,57659,30.01
AARTIIND, EQ, 31-Aug-2021,933.15,937,943.8,929,938,938.1,938.31,524749,4923.77,18410,250224,47.68
AARTISURF, EQ, 31-Aug-2021,1423.55,1423,1435,1405,1410.5,1408.45,1418.22,7882,111.78,1674,4578,58.08
AARVEEDEN, EQ, 31-Aug-2021,18.6,19,19,18.2,18.3,18.3,18.44,7159,1.32,65,5840,81.58
AARVI, EQ, 31-Aug-2021,55.8,57.75,57.75,52.6,53.2,54.15,54.58,34952,19.08,359,24131,69.04
AAVAS, EQ, 31-Aug-2021,2467.3,2469,2469,2375,2420,2409.75,2418.21,122598,2964.67,12571,65346,53.3
ABAN, EQ, 31-Aug-2021,39.8,40.4,40.9,38.3,39.35,39.25,39.84,68302,27.21,1170,34600,50.66
ABB, EQ, 31-Aug-2021,1921.7,1925,1925,1886,1897,1895.75,1899.94,149686,2843.95,16755,68090,45.49
ABBOTINDIA, EQ, 31-Aug-2021,19137.8,19109.9,19398,19071.6,19221,19272.1,19262.21,7133,1373.97,3212,3285,46.05
ABCAPITAL, EQ, 31-Aug-2021,109.75,110,110,107.2,107.7,107.85,108.53,1655331,1796.52,15855,683172,41.27
ABFRL, EQ, 31-Aug-2021,208.15,208.15,210.8,207.4,208.45,208.1,209.14,1472771,3080.15,15027,574375,39
ABINFRA, SM, 31-Aug-2021,7.25,6.9,6.9,6.9,6.9,6.9,6.9,12000,0.83,3,8000,66.67
ABSLBANETF, EQ, 31-Aug-2021,362.55,363,363.5,362.4,363.11,363.11,362.93,125,0.45,11,98,78.4
ABSLNN50ET, EQ, 31-Aug-2021,415.35,422,422,415.3,421,418.5,418.75,671,2.81,25,579,86.29
ABSLRIF6RG, MF, 31-Aug-2021,10.2,10.12,10.13,10.11,10.13,10.13,10.12,5501,0.56,3,5501,100
ACC, EQ, 31-Aug-2021,2386.5,2393.8,2419.7,2365.5,2407.1,2413.2,2401.72,580467,13941.21,31627,243420,41.94
ACCELYA, EQ, 31-Aug-2021,1274.4,1282.85,1290.4,1245,1248,1249.8,1258.25,29605,372.5,2891,14200,47.96
ACCURACY, EQ, 31-Aug-2021,112.25,114,120.9,107.4,114.3,114.6,116.08,133562,155.04,2206,41795,31.29
ACE, EQ, 31-Aug-2021,218.55,218.9,239.7,217.35,238.15,238.35,232.78,2850867,6636.22,44284,753913,26.45
ACRYSIL, EQ, 31-Aug-2021,615.3,650,668,640,641,643.3,648.31,238140,1543.89,10320,108985,45.77
ADANIENT, EQ, 31-Aug-2021,1516.55,1517.3,1596.85,1512.8,1585,1587.6,1568.03,7234384,113437.4,134165,1966642,27.18
ADANIGREEN, BE, 31-Aug-2021,1060.35,1053.95,1100,1040,1067.1,1068.35,1063.27,2737522,29107.32,33154, -, -
ADANIPORTS, EQ, 31-Aug-2021,730,732.3,754,728.1,747.25,748.3,745.58,15419587,114965.13,174105,3890027,25.23
ADANIPOWER, BE, 31-Aug-2021,93.85,98,98.5,96,98.5,98.5,98.06,8076627,7920.07,51219, -, -
ADANITRANS, BE, 31-Aug-2021,1505.35,1521,1580.6,1520.3,1580.6,1580.6,1568.27,545234,8550.73,19919, -, -
ADFFOODS, EQ, 31-Aug-2021,806.7,805,810.6,789.7,803.9,801.9,801.51,9522,76.32,1296,6627,69.6
ADL, BE, 31-Aug-2021,40.2,39,42.2,38.2,42.2,40.15,41.05,8461,3.47,58, -, -
ADORWELD, EQ, 31-Aug-2021,689.5,701.95,709.9,677,679.2,681.05,694.25,9971,69.22,730,6257,62.75
ADROITINFO, BE, 31-Aug-2021,9.4,9.85,9.85,9.5,9.55,9.55,9.66,3833,0.37,29, -, -
ADSL, EQ, 31-Aug-2021,73.5,74.55,76.8,72.05,74.8,73.65,74.45,549315,408.94,6036,284011,51.7
ADVANIHOTR, EQ, 31-Aug-2021,68.75,68.25,69.5,67.1,67.7,67.4,68.41,21880,14.97,296,15168,69.32
ADVENZYMES, EQ, 31-Aug-2021,375.15,376,384.9,376,382.45,381.35,380.63,258595,984.29,9496,107003,41.38
AEGISCHEM, EQ, 31-Aug-2021,268.6,268.6,274,265.5,266,266.25,269.6,448466,1209.07,8797,240472,53.62
AFFLE, BE, 31-Aug-2021,4581.5,4799,4810,4605.55,4770,4759.4,4737.36,114903,5443.37,19571, -, -
AGARIND, EQ, 31-Aug-2021,316.2,319.8,332,311.3,319.5,318.7,326.3,28789,93.94,1236,18456,64.11
AGCNET, BE, 31-Aug-2021,924.8,948,948,905,915,926.4,928.86,3145,29.21,142, -, -
AGRITECH, EQ, 31-Aug-2021,48.4,48.4,48.4,46.6,47.85,47.5,47.72,11190,5.34,352,4400,39.32
AGROPHOS, EQ, 31-Aug-2021,15.95,16.65,16.65,15.4,15.55,15.5,15.84,32294,5.11,235,20172,62.46
AHLADA, EQ, 31-Aug-2021,162.8,163,167.4,155,157.95,157.4,159.38,22027,35.11,502,16979,77.08
AHLEAST, EQ, 31-Aug-2021,182.95,182,183.7,180.2,180.5,181.55,181.36,2867,5.2,72,1958,68.29
AHLUCONT, EQ, 31-Aug-2021,373.1,379.95,387.85,375.35,381,381.75,382.77,23517,90.02,956,11156,47.44
AHLWEST, EQ, 31-Aug-2021,278.25,278.25,280.1,274.75,275,275.15,275.84,476,1.31,37,332,69.75
AIAENG, EQ, 31-Aug-2021,1962.85,1968,2056.9,1968,2030,2021.5,2007.07,119019,2388.8,10143,67277,56.53
AILIMITED, SM, 31-Aug-2021,21.05,20,22.1,20,22.1,22.1,21.4,9000,1.93,2,9000,100
AIRAN, BE, 31-Aug-2021,23.4,23.65,23.65,22.6,23.3,23.25,23.22,22604,5.25,240, -, -
AIROLAM, SM, 31-Aug-2021,54,53,56,53,55.3,55.3,54.73,66000,36.12,22,57000,86.36
AISL, SM, 31-Aug-2021,43.75,45.35,45.35,43.75,43.75,43.75,44.33,20400,9.04,14,1200,5.88
AJANTPHARM, EQ, 31-Aug-2021,2231.7,2233.4,2254.45,2217.2,2229.75,2227.8,2243.53,106173,2382.03,5472,78630,74.06
AJMERA, BE, 31-Aug-2021,352.85,343,359,343,350,351.85,353.08,16675,58.88,341, -, -
AJOONI, EQ, 31-Aug-2021,53.7,55.65,55.75,51.3,51.3,52.05,53.02,79298,42.04,802,47840,60.33
AJRINFRA, BE, 31-Aug-2021,1.7,1.75,1.75,1.75,1.75,1.75,1.75,300807,5.26,139, -, -
AKASH, EQ, 31-Aug-2021,161.8,163.1,175.95,163.1,171.5,173.5,172.65,76877,132.73,1852,32243,41.94
AKG, EQ, 31-Aug-2021,24.9,24.9,26.95,24.05,25.15,25.25,25.13,15745,3.96,193,4197,26.66
AKSHARCHEM, EQ, 31-Aug-2021,424.85,434,438.35,422.15,428.4,427.4,431.51,23565,101.68,2448,9478,40.22
AKSHOPTFBR, BE, 31-Aug-2021,8.8,8.8,8.9,8.55,8.65,8.65,8.73,117400,10.25,320, -, -
AKZOINDIA, EQ, 31-Aug-2021,2208.2,2204.1,2219.4,2196.1,2212,2211.45,2201.02,60639,1334.68,1717,55672,91.81
ALANKIT, EQ, 31-Aug-2021,15,15,16.2,14.95,16,16.05,15.63,1089265,170.21,2421,685138,62.9
ALBERTDAVD, EQ, 31-Aug-2021,582.05,583.45,586.15,576.35,577,578.85,581.16,11124,64.65,1018,5530,49.71
ALEMBICLTD, EQ, 31-Aug-2021,104.45,105.3,105.8,104,104.4,104.55,104.95,166194,174.41,4701,70542,42.45
ALICON, EQ, 31-Aug-2021,785.85,786,825,778.4,802.9,800.85,804.53,26985,217.1,2392,13011,48.22
ALKALI, EQ, 31-Aug-2021,70.1,71,71.05,68.5,69.3,69.1,69.99,16492,11.54,350,10924,66.24
ALKEM, EQ, 31-Aug-2021,3901.8,3924,3925,3870,3878,3878.6,3887.14,90295,3509.89,6570,48368,53.57
ALKYLAMINE, EQ, 31-Aug-2021,4347.25,4379,4379,4229.9,4280,4277.15,4279.65,146119,6253.39,25193,81028,55.45
ALLCARGO, EQ, 31-Aug-2021,224.7,224,225,215.95,217.5,217.4,220.86,787817,1739.95,9890,278496,35.35
ALLSEC, EQ, 31-Aug-2021,428.75,431.45,440,425.85,439.75,439.45,435.8,14101,61.45,780,10924,77.47
ALMONDZ, EQ, 31-Aug-2021,76.8,76.8,79,74.45,77.45,77.2,77.16,15448,11.92,238,11022,71.35
ALOKINDS, EQ, 31-Aug-2021,22.55,22.6,22.6,21.95,22.15,22.15,22.22,3502513,778.18,6750,1764436,50.38
ALPA, EQ, 31-Aug-2021,51.95,52.85,52.85,51.4,51.95,51.65,52.02,12874,6.7,282,8680,67.42
ALPHAGEO, EQ, 31-Aug-2021,344.6,347.5,347.5,337,338,338.5,340.3,25357,86.29,1508,13274,52.35
ALPSINDUS, BE, 31-Aug-2021,2,2.1,2.1,2,2.05,2.05,2.02,67534,1.37,41, -, -
AMARAJABAT, EQ, 31-Aug-2021,694,698.4,702,693.2,699.9,699.25,698.18,1122577,7837.58,25134,471758,42.02
AMBANIORG, SM, 31-Aug-2021,62.7,59.6,59.6,59.6,59.6,59.6,59.6,2000,1.19,1,2000,100
AMBER, EQ, 31-Aug-2021,2899.35,2908,2913.85,2871.4,2902,2894.9,2899.21,20587,596.86,4743,13465,65.41
AMBICAAGAR, EQ, 31-Aug-2021,16.5,16.7,16.7,16.1,16.5,16.3,16.34,9155,1.5,87,5123,55.96
AMBIKCO, EQ, 31-Aug-2021,1515.95,1516,1536,1506,1528.05,1523.4,1523.4,15730,239.63,2161,7721,49.08
AMBUJACEM, EQ, 31-Aug-2021,417.7,417.7,422.45,413.45,422,421.05,420.22,6342929,26654.21,44600,3932713,62
AMDIND, EQ, 31-Aug-2021,29.1,29.45,29.45,28.15,28.8,28.6,28.73,11836,3.4,90,8639,72.99
AMJLAND, EQ, 31-Aug-2021,30.45,30.3,30.35,28.25,28.5,28.65,29.25,37189,10.88,487,20515,55.16
AMRUTANJAN, EQ, 31-Aug-2021,725,728.65,735,711.7,716.6,716.8,722.09,28012,202.27,2736,12126,43.29
ANANTRAJ, BE, 31-Aug-2021,65.9,65.9,67.35,64,65.25,64.55,65.62,595401,390.73,941, -, -
ANDHRACEMT, BE, 31-Aug-2021,23.9,22.75,23.9,22.75,22.75,22.75,22.8,1508189,343.92,1378, -, -
ANDHRAPAP, EQ, 31-Aug-2021,229,225,230,225,228,227.25,228.15,16134,36.81,739,8812,54.62
ANDHRSUGAR, EQ, 31-Aug-2021,528.35,532,541.95,523.85,525,526.25,533.42,31481,167.93,2312,14321,45.49
ANDREWYU, EQ, 31-Aug-2021,25.35,25.4,25.55,24.7,25.2,24.75,24.94,133359,33.26,760,84422,63.3
ANGELBRKG, EQ, 31-Aug-2021,1200.7,1225,1248.65,1177.3,1205.95,1207.4,1223.29,434719,5317.86,27557,202397,46.56
ANIKINDS, EQ, 31-Aug-2021,18.65,18,19.4,18,19,18.9,18.95,33019,6.26,199,23854,72.24
ANKITMETAL, BE, 31-Aug-2021,1.85,1.9,1.9,1.85,1.85,1.85,1.89,8021,0.15,15, -, -
ANMOL, EQ, 31-Aug-2021,203.85,208.9,217.6,203.45,204,205.5,207.75,76162,158.23,4090,38532,50.59
ANSALAPI, EQ, 31-Aug-2021,9.75,9.9,9.9,9.4,9.4,9.45,9.55,140805,13.45,252,103734,73.67
ANSALHSG, EQ, 31-Aug-2021,6.75,6.7,6.75,6.55,6.6,6.55,6.62,78091,5.17,149,66388,85.01
ANUP, EQ, 31-Aug-2021,973.15,974.95,1016.8,965,1012,1011.45,995.46,51877,516.41,5202,35755,68.92
ANURAS, EQ, 31-Aug-2021,754.9,759.8,766.25,745.15,761.05,761.6,759.17,97745,742.05,4609,39477,40.39
APARINDS, EQ, 31-Aug-2021,674,674.5,674.5,652.1,659.95,656.85,662.57,114998,761.94,8044,38565,33.54
APCL, EQ, 31-Aug-2021,432.1,434.9,434.9,421.05,426.5,426.75,425.14,31360,133.33,2074,19440,61.99
APCOTEXIND, EQ, 31-Aug-2021,324.15,328.7,351.7,324.15,341.5,342.6,342.4,232315,795.44,9814,94839,40.82
APEX, EQ, 31-Aug-2021,265.65,267.45,269.6,262.45,263.05,263.3,265.65,93127,247.39,3073,46521,49.95
APLAPOLLO, EQ, 31-Aug-2021,1645,1652,1672.2,1627.75,1665,1660.1,1654.15,168735,2791.13,13669,114442,67.82
APLLTD, EQ, 31-Aug-2021,751.25,751.2,754.8,746.65,752.45,751.35,750.32,168262,1262.5,7391,84902,50.46
APOLLO, EQ, 31-Aug-2021,114.75,115.65,115.9,112,112.4,112.35,113.23,81599,92.39,2699,48287,59.18
APOLLOHOSP, EQ, 31-Aug-2021,4757.55,4766.1,5046,4766.1,4982,4969.55,4964.73,2883159,143140.99,175275,588537,20.41
APOLLOPIPE, EQ, 31-Aug-2021,1474.85,1494,1494,1450.1,1455,1452.05,1456.22,24081,350.67,2843,14255,59.2
APOLLOTYRE, EQ, 31-Aug-2021,212.45,212.25,215.95,211.3,212.9,212.95,213.68,3204602,6847.58,23680,1023132,31.93
APOLSINHOT, EQ, 31-Aug-2021,823.2,823.2,844.8,815.25,828.05,833.95,835.33,1629,13.61,247,616,37.81
APTECHT, EQ, 31-Aug-2021,289.65,289.75,315.35,287.6,302.5,304.25,303.51,3315219,10061.96,66550,534424,16.12
APTUS, EQ, 31-Aug-2021,355.75,356,377.7,356,367.9,369.45,369.08,5823315,21492.56,96917,3103509,53.29
ARCHIDPLY, EQ, 31-Aug-2021,31.05,30.35,31.4,30.3,30.8,30.75,30.9,7605,2.35,152,3382,44.47
ARCHIES, BE, 31-Aug-2021,18.15,18.25,18.5,17.6,18.15,18.1,17.96,21026,3.78,175, -, -
ARENTERP, EQ, 31-Aug-2021,33.2,34.85,34.85,34.85,34.85,34.85,34.85,5141,1.79,14,5134,99.86
ARIES, EQ, 31-Aug-2021,148.8,151,158.55,149.45,154,154.35,154.87,105461,163.33,2768,55586,52.71
ARIHANT, EQ, 31-Aug-2021,24.4,24,25,23.9,24,23.95,24.49,14621,3.58,247,5517,37.73
ARIHANTCAP, EQ, 31-Aug-2021,149.05,148.15,150.1,147,147,148.15,148.98,54206,80.75,1032,26550,48.98
ARIHANTSUP, EQ, 31-Aug-2021,110.55,110.35,112.2,109.1,109.8,110.35,110.45,98773,109.09,917,41859,42.38
ARMANFIN, EQ, 31-Aug-2021,708.25,708.3,724,700,701.15,700.6,707.85,7698,54.49,1520,4256,55.29
AROGRANITE, EQ, 31-Aug-2021,70.3,70.8,71.1,69.3,70,69.65,70.21,38237,26.85,701,20090,52.54
ARROWGREEN, EQ, 31-Aug-2021,135.2,130.2,132,128.45,129,128.65,129.45,12284,15.9,292,7527,61.27
ARSHIYA, EQ, 31-Aug-2021,26.6,26.45,27.3,26.45,26.6,26.6,26.82,23413,6.28,253,11538,49.28
ARSSINFRA, EQ, 31-Aug-2021,31.45,31.95,31.95,30.1,30.8,30.65,30.89,29732,9.18,457,18850,63.4
ARTEMISMED, EQ, 31-Aug-2021,329.65,337,346.1,333,346.1,346.1,342.74,4959,17,131,4451,89.76
ARVEE, BE, 31-Aug-2021,95,95,95,90.25,94,94,92.77,382,0.35,18, -, -
ARVIND, EQ, 31-Aug-2021,92.75,93,93.35,90,90.6,90.5,91.35,650667,594.36,6725,395484,60.78
ARVINDFASN, EQ, 31-Aug-2021,255.8,256.95,263.6,251.3,254.3,256.05,257.19,1394230,3585.79,24807,428862,30.76
ARVSMART, EQ, 31-Aug-2021,129.2,129.2,129.95,125.65,126.95,126.25,127.16,39306,49.98,1325,24276,61.76
ASAHIINDIA, EQ, 31-Aug-2021,371.25,371.2,371.2,356.5,358,357.95,363.76,106420,387.11,5179,66481,62.47
ASAHISONG, EQ, 31-Aug-2021,336.45,342,345,336.05,337.7,337.9,339.12,14674,49.76,786,8950,60.99
ASAL, BE, 31-Aug-2021,54.25,56.45,56.45,53,54,54.25,54.9,4208,2.31,96, -, -
ASALCBR, EQ, 31-Aug-2021,439.8,442,444.9,436.15,439.1,437.95,440.61,25038,110.32,2003,12285,49.07
ASHAPURMIN, BE, 31-Aug-2021,127.65,129.6,130,124.9,126.5,125.7,127.39,50672,64.55,259, -, -
ASHIANA, EQ, 31-Aug-2021,158.7,160,162.2,158,158.2,158.55,160.12,61509,98.49,4771,24266,39.45
ASHIMASYN, EQ, 31-Aug-2021,17.6,17.1,17.95,17.1,17.3,17.35,17.43,42203,7.36,76,41342,97.96
ASHOKA, EQ, 31-Aug-2021,99.6,100.1,101.45,99.7,99.75,99.95,100.48,817273,821.16,7966,247122,30.24
ASHOKLEY, EQ, 31-Aug-2021,121.7,121.9,123.15,119.65,122.7,122.75,121.65,20046747,24386.53,112661,6926518,34.55
ASIANHOTNR, EQ, 31-Aug-2021,81.85,81.05,83.35,78.1,79,78.9,80.04,5834,4.67,198,4232,72.54
ASIANPAINT, EQ, 31-Aug-2021,3108.75,3108.75,3210,3103.05,3200,3201.35,3171.1,2283290,72405.43,102527,1262306,55.28
ASIANTILES, EQ, 31-Aug-2021,160.8,161.9,163,160.8,161.6,162.15,162.27,345681,560.93,5973,173962,50.32
ASPINWALL, EQ, 31-Aug-2021,193.9,190.15,202,190.15,197,196.6,197.73,7261,14.36,349,3526,48.56
ASTEC, EQ, 31-Aug-2021,1318.15,1325.95,1333,1299.1,1305,1306.95,1315.15,8192,107.74,1047,4452,54.35
ASTERDM, EQ, 31-Aug-2021,215.05,214.8,227.4,211.35,213.75,214.2,219.64,9239178,20293.22,95262,1011830,10.95
ASTRAL, EQ, 31-Aug-2021,2006,2030,2050,2010,2040,2041.1,2031.15,368007,7474.79,28272,219556,59.66
ASTRAMICRO, EQ, 31-Aug-2021,153.25,153.95,154.4,151.65,151.95,152.4,152.95,217608,332.83,2827,111502,51.24
ASTRAZEN, EQ, 31-Aug-2021,3107.2,3109.8,3133.25,3100.05,3105,3106.45,3116.65,8569,267.07,2235,3978,46.42
ASTRON, EQ, 31-Aug-2021,59.3,58.7,59.9,58.7,59,58.95,59.26,79023,46.83,1346,38810,49.11
ATALREAL, SM, 31-Aug-2021,97.45,98,98,95.25,95.25,96.6,97.53,9600,9.36,5,8000,83.33
ATFL, EQ, 31-Aug-2021,1000.2,1005.25,1017.05,996.4,1000,1002.55,1006.28,6383,64.23,808,3310,51.86
ATGL, BE, 31-Aug-2021,1383.4,1394,1452.55,1353,1452.55,1452.5,1446.03,1160761,16784.92,27405, -, -
ATLANTA, BE, 31-Aug-2021,12.75,12.5,13.15,12.5,13,12.75,12.8,15552,1.99,81, -, -
